ID,X,Y,Z,PCI,RSRP(dBm)
31881555,800838.18,348669.8,1.5,2,-76.67823
31881556,800851.09,348664.28,1.5,2,-76.13489
31881557,800864.75,348661.21,1.5,2,-71.09808
31881558,800878.58,348658.76,1.5,2,-67.72945
31881559,800892.36,348656.07,1.5,2,-73.19542
31881560,800906.05,348653.08,1.5,2,-73.99442
31881561,800919.9,348650.96,1.5,2,-73.35157
31881562,800933.5,348647.63,1.5,2,-72.98121
31881563,800946.88,348648.84,1.5,2,-71.5273
31881564,800960.39,348646.83,1.5,2,-69.87199
31881565,800972.93,348640.6,1.5,2,-65.71041
31881566,800985.15,348633.8,1.5,2,-65.43359
31881567,800997.73,348629.4,1.5,2,-61.43955
31881568,801004.93,348618.79,1.5,2,-60.97391
31881569,801017.75,348613.38,1.5,2,-60.37148
31881570,801030.36,348607.69,1.5,2,-59.74842
31881571,801031.9,348594.72,1.5,2,-55.19344
31881572,801048.69,348582.85,1.5,2,-57.0671
31881573,801060.77,348589.74,1.5,2,-54.97191
31881574,801087.14,348588.38,1.5,2,-55.29593
31881575,801097.7,348587.09,1.5,2,-51.45459
31881576,801109.16,348589.52,1.5,2,-48.45848
31881577,801118.92,348583.87,1.5,2,-49.50692
31881578,801132.13,348582.72,1.5,2,-47.37774
31881579,801146.13,348582.71,1.5,2,-51.3337
31881580,801160.09,348581.56,1.5,2,-64.048
31881581,801173.98,348579.85,1.5,2,-60.59378
31881582,801187.46,348581.44,1.5,2,-62.54245
31881583,801201.42,348580.85,1.5,2,-67.32952
31881584,801215.04,348578.42,1.5,2,-68.06467
31881585,801228.88,348578.68,1.5,2,-68.09294
31881586,801241,348585.48,1.5,2,-69.98998
31881587,801249.09,348596.8,1.5,2,-72.35515
31881588,801251.54,348610.29,1.5,2,-74.07471
31881589,801243.26,348620.29,1.5,2,-74.22344
31881590,801230.44,348625.93,1.5,2,-73.14036
31881591,801138.21,348674.84,1.5,2,-73.5517
31881592,801108.25,348665.75,1.5,2,-77.35496
31881593,801094.26,348666.34,1.5,2,-76.22346
31881594,801080.24,348666.73,1.5,2,-72.01888
31881595,801067.49,348668.65,1.5,2,-72.40845
31881596,801058.61,348678.28,1.5,2,-71.12028
31881597,801047.08,348685.53,1.5,2,-73.00729
31881598,801036.1,348694.06,1.5,2,-73.3463
31881599,801040.97,348705.69,1.5,2,-73.59811
31881600,801040.73,348718.02,1.5,2,-75.83299
31881601,801027.64,348722.63,1.5,2,-78.95126
31881602,801014.6,348726.83,1.5,2,-80.72911
31881603,801002.58,348732.3,1.5,2,-81.5
31881604,800989.37,348736.74,1.5,2,-83.00546
31881605,800975.99,348740.81,1.5,2,-82.89788
31881606,800962.39,348744.1,1.5,2,-81.79237
31881607,800950.67,348751.68,1.5,2,-82.11377
31881608,800938.33,348757.13,1.5,2,-83.69481
