[ID] [name of material]  [Thickness]   [Color: Red]  [Color: Green]  [Color: Blue]   [Frequency (in MHz)]  [Dielectrictity (relative)]   [Permeability (relative)]   [Conductivity (in S/m)]   [Transmission Loss (in dB)]   [Reflection Loss (in dB)] 
53  "Sand; thickness: 0.2 m." 181 176 91 1800 2.58 1 0.004 1.3 12.67
53  "Sand; thickness: 0.2 m." 181 176 91 2000 2.58 1 0.004 1.39 12.67
53  "Sand; thickness: 0.2 m." 181 176 91 5000 2.58 1 0.011 2.75 12.67
54  "Wood (Birch); thickness: 0.1 m." 203 87 31 900 1.35 1 0.001 0.19 22.51
54  "Wood (Birch); thickness: 0.1 m." 203 87 31 1800 1.35 1 0.002 0.33 22.51
54  "Wood (Birch); thickness: 0.1 m." 203 87 31 2000 1.35 1 0.002 0.36 22.51
54  "Wood (Birch); thickness: 0.1 m." 203 87 31 3500 1.35 1 0.004 0.6 22.51
54  "Wood (Birch); thickness: 0.1 m." 203 87 31 5000 1.35 1 0.006 0.83 22.51
55  "Wood (Birch); thickness: 0.15 m." 203 87 31 900 1.35 1 0.001 0.26 22.51
55  "Wood (Birch); thickness: 0.15 m." 203 87 31 1800 1.35 1 0.002 0.47 22.51
55  "Wood (Birch); thickness: 0.15 m." 203 87 31 2000 1.35 1 0.002 0.52 22.51
55  "Wood (Birch); thickness: 0.15 m." 203 87 31 3500 1.35 1 0.004 0.87 22.51
55  "Wood (Birch); thickness: 0.15 m." 203 87 31 5000 1.35 1 0.006 1.22 22.51
56  "Wood (Birch); thickness: 0.05 m." 203 87 31 900 1.35 1 0.001 0.12 22.51
56  "Wood (Birch); thickness: 0.05 m." 203 87 31 1800 1.35 1 0.002 0.19 22.51
56  "Wood (Birch); thickness: 0.05 m." 203 87 31 2000 1.35 1 0.002 0.21 22.51
56  "Wood (Birch); thickness: 0.05 m." 203 87 31 3500 1.35 1 0.004 0.32 22.51
56  "Wood (Birch); thickness: 0.05 m." 203 87 31 5000 1.35 1 0.006 0.44 22.51
